Geetham Veg Restaurant
Idli,Veg,50
Dosa,Veg,70
Ghee Roast,Veg,164
Butter Roast,Veg,164
Plain Uthappam,Veg,119
Onion Uthappam,Veg,138
Rice,Veg,100
Chapathi 2nos,Veg,106
Coffee,Veg,45
Horlicks,Veg,90
Tea,Veg,50
Milk,Veg,50

Saravana Bhavan
Sambar Vadai 2nos,Veg,90
Curd Vadai 2nos,Veg,104.76
Chapati 2nos,Veg,76.19
Rice,Veg,80
Chapati,Veg,90
Idli,Veg,45
Poori,Veg,60
Dosai,Veg,75
Masala Dosai,Veg,90	
Coffee,Veg,60
Dosa,Veg,70

A2B Veg
Mini Idly,Veg,120
Sambar Idly,Veg,90
Masala Dosai,Veg,130
Onion Dosai,Veg,130
Poori Masala,Veg,105
Rava Kitchadi,Veg,90
Medhu Vadai,Veg,60
Sambar Vadai-1 Pc,Veg,80

Shree Mithai
Samosa,Veg,58
Butter Muruku,Veg,130
Salted Potato Chips,Veg,68
Dal Kachori,Veg,58
Ribbon Muruku,Veg,90
Salted Triangle Puff,Veg,59
Vegetable Spring Roll,Veg,54
Pani Poori,Veg,61
Pav Bhaji,Veg,125
Bhel Poori,Veg,80

Manoj Bhavan Veg Restaurant
Vegetable Spring Rolls,Veg,188.50
Gobi Manchurian Dry,Veg,240.50
Honey Chilli Paneer,Veg,299
Sambar Idly,Veg,91
Parotta Kurma,Veg,91
Channa Bhatura,Veg,130
Kaikari Kothu Parotta,Veg,156
Chilli Parotta,Veg,62.50

Burger King
Veggie Strips(5 Pcs),Veg,49
King Fries,Veg,119
Cheesy Fries,Veg,139
Chocolate Thick Shake,Veg,159
Veg Whopper + Veg Whopper,Veg,338
Veg Whopper with Cheese,Veg,198
2 Lite Whopper Jr Chicken + 1 King Fries+ 1 Chicken Fries,Non Veg,476
Chicken Whopper + Chicken Whopper,Non Veg,398
Boneless Wings Large,Non Veg,249
Mutton Whopper Double Patty,Non Veg,389
Chicken Whopper with Cheese,Non Veg,219

KFC
Veg Biryani Bucket,Veg,188
2 X Veg Krisper Burgers,Veg,159
2 X Veg Krispers Burger Meal,Veg,269
Chocolate Lava Cake,Veg,109
Large French Fries,Veg,120
French Fries -Medium,Veg,100
Chicken Biryani combo - for 2,Non Veg,795
Chick'n Dip Combo -for Many,Non veg,719
Chicken Bucket for Two,Non Veg,600
Peri Peri 6pc Chicken Strips,Non Veg,280

Subway
Paneer Tikka Sandwich,Veg,232.75
Tandoori Tofu Sandwich,Veg,232.75
Corn & Peas Sandwich,Veg,213.75
Chatpata Chana Sandwich,Veg,213.75
Egg & Cheese Sandwich,Non Veg,194.75
Chicken Slice Egg & Cheese Sandwich,Non Veg,213.75
Chicken Kofta Sandwich,Non Veg,251.75
Chicken Slice Sandwich,Non Veg,251.75

Domino's Pizza
The Cheese Dominator,Veg,689
The 4 Cheese Pizza,Veg,689
Margherita,Veg,309
Farmhouse,Veg,529
Moroccan Spice Pasta Pizza,Non Veg,569
Chicken Dominator,Non Veg,669
Non Veg Supreme,Non Veg,669
Chicken Pepperoni,Non Veg,669

Oven Story Pizza
2 Veg - Half - Pizzas-Medium,Veg,339
Cheese-Infused Garlic Bread (with Free Cheese Dip),Veg,135
Dilli ke Chole Lasagne,Veg,239
Molten Lava Cake,Veg,99
Two Classic-Non-Veg Medium Pizza Combo,Non Veg,699
Two Special-Non-Veg Medium Pizza Combo,Non Veg,799
Peri Peri Mutton Semizza [Half Pizza],Non Veg,359
Chicken Kheema, Tikka & Tandoori Cheese Semizza [Half Pizza],Non Veg,359

Pizza Hut
Cheesy Momo Mia Pizza Veg,Veg,329
Cheesy Classic Veg Combo,Veg,188
Classic Corn - New,Veg,79
Classic Paneer, Capsicum & Onion - New,Veg,129
Creamy Garlic Breadsticks,Veg,169
Triple Chicken Feast,Non Veg,409
Chicken Supreme,Non Veg,409
Super Value Deal : 2 Medium Veg Pizzas,Veg,649
Super Value Deal : 2 Medium Non -Veg Pizzas,Non Veg,749

The Bowl Company
Indonesian Sambal Fried Rice (Mini),Veg,179
Bangkok Red Curry with Scallion Rice (Mini),Veg,199
Paneer Makhani Biryani,Veg,219
Nawabi Paneer Lababdar with Matar Pulao,Veg,209
Malaysian Chicken Curry with Selasih Rice (Mini),Non Veg,209
Malabar Chicken Roast with Ghee Rice (Mini),Non Veg,239
Chef's Special Egg Biryani,Non Veg,189
Kadhai Chicken with Jeera Rice,Non Veg,209

Cafe De Paris
Pasta Arabiatta,Veg,425
Pasta Ala Pesto,Veg,425
Burnt Chilly Paneer,Veg,345
Mint And Corn Paneer,Veg,325
Chicken Wings,Non Veg,380
Burnt Chilli Chicken Quesadillas,Non Veg,385
Classic Fish & Chips,Non Veg,395
Dynamite Prawns,Non Veg,475

Krispy Kreme
Chocolate Dream Cake,Veg,88
Double Chocolate Cake,Veg,88
Krunchy Hazelnut,Veg,88
Silky Chocolate Shake,Veg,160
Coffee Frappe Shake,Veg,160
Vanilla Choco Chip,Veg,88
Chocolate Almond Donut,Veg,120
Buy 4 & Get 2 Free All Assorted Donuts,Veg,460

Writer's Cafe
Tricolour Pizza,Veg,210
Foccacia,Veg,215
Kashmiri Chilli Flammkuchen,Veg,140
Mac & Cheese,Veg,215
French Toast,Non Veg,130
Sticky Lemon Chicken,Non Veg,215
Chicken Stroganoff With Buttered Rice,Non Veg,320
Tuna And Olives Toastie,Non Veg,195

Roll Baby Roll
Veggie Roll,Veg,125
Corn Roll,Veg,130
Peri Peri Corn Roll,Veg,140
Paneer Makhani Roll,Veg,170
Egg Roll,Non Veg,95
Egg Mirchi,Non Veg,100
Egg Cheese Roll,Non Veg,130
Chicken Roll Dilli Istyle,Non Veg,160

The Sandwich Shop
Veg Nuggets,Veg,150
Potato Cheese Shots,Veg,170
Veg Rolls,Veg,185
Paneer Rolls,Veg,205
Hot & Spicy Mushroom Sandwich,Veg,140
Spicy Mayo Mushroom Sandwich,Veg,140

Sigree
Tamatar Dhaniya Shorba,Veg,165
Dilliwali Tikki,Veg,285
