Geetham Veg Restaurant,4.1;4.1;4.0;4.0;4.1;4.1;
Saravana Bhavan,4.0;
Shree Mithai,
Geetham Veg Restaurant,4.1;4.1;4.0;4.0;4.1;4.1;
Saravana Bhavan,4.0;
A2B Veg,
Shree Mithai,
Manoj Bhavan Veg Restaurant,
Burger King,
KFC,
Subway,
Domino's Pizza,
Oven Story Pizza,3.9;4.1;
Pizza Hut,4.0;
The Bowl Company,3.8;4.1;4.1;3.8;4.1;4.0;3.8;4.1;
Cafe De Paris,3.9;
Krispy Kreme,3.9;
Writer's Cafe,4.1;4.1;4.1;
Roll Baby Roll,
The Sandwich Shop,
Sigree,
Chai Kings,
Cake Works,
