Name of the Restaurant, Location
Geetham Veg Restaurant,T Nagar
Saravana Bhavan,KK Nagar
A2B Veg,Ashok Nagar
Shree Mithai,Ashok Nagar
Manoj Bhavan Veg Restaurant,Ashok Nagar
Burger King,Ashok Nagar
KFC,Ashok Nagar
Subway,Valasaravakkam
Domino's Pizza,K.K Nagar
Oven Story Pizza,Vadapalani
Pizza Hut,Ashok Nagar
The Bowl Company,Vadapalani
Cafe De Paris,Alwarpet
Krispy Kreme,Thousand Lights
Writer's Cafe,Egmore
Roll Baby Roll,Nungambakkam
The Sandwich Shop,Kodambakkam
Sigree,Anna Nagar
Chai Kings,Egmore
Cake Works,Choolaimedu
